-5.073046875000000000000000000000000000000000000000000000000000000000000000000024e-01 -4.995000000000000000000000000000000000000000000000000000000000000000000000000084e-01 2.786305995365962763166837851481965785915196979519007918372184014022545776399278e-01 2.827134024709579862625173702239053518061008699806052152465892602464053802522895e-01 0
-5.073046875000000000000000000000000000000000000000000000000000000000000000000024e-01 -4.995000000000000000000000000000000000000000000000000000000000000000000000000084e-01 2.827134024709579862625173702239053518061008699806052152465892602464053802522852e-01 2.867962054053196962083509552996141250206820420093096386559601190905561828646469e-01 1
-5.151093750000000000000000000000000000000000000000000000000000000000000000000051e-01 -5.073046874999999999999999999999999999999999999999999999999999999999999999999938e-01 2.867962054053196962083509552996141250206820420093096386559601190905561828646383e-01 2.908790083396814061541845403753228982352632140380140620653309779347069854769913e-01 0
-5.151093750000000000000000000000000000000000000000000000000000000000000000000051e-01 -5.073046874999999999999999999999999999999999999999999999999999999999999999999938e-01 2.90879008339681406154184540375322898235263214038014062065330977934706985476987e-01 2.949618112740431161000181254510316714498443860667184854747018367788577880893444e-01 1
-5.073046875000000000000000000000000000000000000000000000000000000000000000000024e-01 -4.995000000000000000000000000000000000000000000000000000000000000000000000000084e-01 2.867962054053196962083509552996141250206820420093096386559601190905561828646383e-01 2.908790083396814061541845403753228982352632140380140620653309779347069854769913e-01 1
-5.073046875000000000000000000000000000000000000000000000000000000000000000000024e-01 -4.995000000000000000000000000000000000000000000000000000000000000000000000000084e-01 2.90879008339681406154184540375322898235263214038014062065330977934706985476987e-01 2.949618112740431161000181254510316714498443860667184854747018367788577880893444e-01 1
-5.385234375000000000000000000000000000000000000000000000000000000000000000000132e-01 -5.307187500000000000000000000000000000000000000000000000000000000000000000000019e-01 2.990446142084048260458517105267404446644255580954229088840726956230085907016975e-01 3.031274171427665359916852956024492178790067301241273322934435544671593933140549e-01 0
-5.463281250000000000000000000000000000000000000000000000000000000000000000000245e-01 -5.385234375000000000000000000000000000000000000000000000000000000000000000000046e-01 3.07210220077128245937518880678157991093587902152831755702814413311310195926395e-01 3.112930230114899558833524657538667643081690741815361791121852721554609985387524e-01 0
-5.385234375000000000000000000000000000000000000000000000000000000000000000000132e-01 -5.307187500000000000000000000000000000000000000000000000000000000000000000000019e-01 3.031274171427665359916852956024492178790067301241273322934435544671593933140463e-01 3.072102200771282459375188806781579910935879021528317557028144133113101959263993e-01 0
-5.385234375000000000000000000000000000000000000000000000000000000000000000000132e-01 -5.307187500000000000000000000000000000000000000000000000000000000000000000000019e-01 3.07210220077128245937518880678157991093587902152831755702814413311310195926395e-01 3.112930230114899558833524657538667643081690741815361791121852721554609985387524e-01 0
-5.541328125000000000000000000000000000000000000000000000000000000000000000000099e-01 -5.463281250000000000000000000000000000000000000000000000000000000000000000000073e-01 3.153758259458516658291860508295755375227502462102406025215561309996118011511012e-01 3.194586288802133757750196359052843107373314182389450259309269898437626037634542e-01 0
-5.619375000000000000000000000000000000000000000000000000000000000000000000000126e-01 -5.541328125000000000000000000000000000000000000000000000000000000000000000000013e-01 3.23541431814575085720853220980993083951912590267649449340297848687913406375803e-01 3.276242347489367956666868060567018571664937622963538727496687075320642089881604e-01 0
-5.541328125000000000000000000000000000000000000000000000000000000000000000000099e-01 -5.463281250000000000000000000000000000000000000000000000000000000000000000000073e-01 3.194586288802133757750196359052843107373314182389450259309269898437626037634456e-01 3.235414318145750857208532209809930839519125902676494493402978486879134063758073e-01 0
-5.541328125000000000000000000000000000000000000000000000000000000000000000000099e-01 -5.463281250000000000000000000000000000000000000000000000000000000000000000000073e-01 3.23541431814575085720853220980993083951912590267649449340297848687913406375803e-01 3.276242347489367956666868060567018571664937622963538727496687075320642089881604e-01 0
-5.463281250000000000000000000000000000000000000000000000000000000000000000000245e-01 -5.385234375000000000000000000000000000000000000000000000000000000000000000000046e-01 3.112930230114899558833524657538667643081690741815361791121852721554609985387481e-01 3.153758259458516658291860508295755375227502462102406025215561309996118011511055e-01 0
-5.463281250000000000000000000000000000000000000000000000000000000000000000000245e-01 -5.385234375000000000000000000000000000000000000000000000000000000000000000000046e-01 3.153758259458516658291860508295755375227502462102406025215561309996118011511012e-01 3.194586288802133757750196359052843107373314182389450259309269898437626037634542e-01 0
-5.385234375000000000000000000000000000000000000000000000000000000000000000000132e-01 -5.307187500000000000000000000000000000000000000000000000000000000000000000000019e-01 3.112930230114899558833524657538667643081690741815361791121852721554609985387481e-01 3.153758259458516658291860508295755375227502462102406025215561309996118011511055e-01 1
-5.385234375000000000000000000000000000000000000000000000000000000000000000000132e-01 -5.307187500000000000000000000000000000000000000000000000000000000000000000000019e-01 3.153758259458516658291860508295755375227502462102406025215561309996118011511012e-01 3.194586288802133757750196359052843107373314182389450259309269898437626037634542e-01 1
-5.463281250000000000000000000000000000000000000000000000000000000000000000000245e-01 -5.385234375000000000000000000000000000000000000000000000000000000000000000000046e-01 3.194586288802133757750196359052843107373314182389450259309269898437626037634456e-01 3.235414318145750857208532209809930839519125902676494493402978486879134063758073e-01 1
-5.463281250000000000000000000000000000000000000000000000000000000000000000000245e-01 -5.385234375000000000000000000000000000000000000000000000000000000000000000000046e-01 3.23541431814575085720853220980993083951912590267649449340297848687913406375803e-01 3.276242347489367956666868060567018571664937622963538727496687075320642089881604e-01 1
-5.385234375000000000000000000000000000000000000000000000000000000000000000000132e-01 -5.307187500000000000000000000000000000000000000000000000000000000000000000000019e-01 3.194586288802133757750196359052843107373314182389450259309269898437626037634456e-01 3.235414318145750857208532209809930839519125902676494493402978486879134063758073e-01 1
-5.385234375000000000000000000000000000000000000000000000000000000000000000000132e-01 -5.307187500000000000000000000000000000000000000000000000000000000000000000000019e-01 3.23541431814575085720853220980993083951912590267649449340297848687913406375803e-01 3.276242347489367956666868060567018571664937622963538727496687075320642089881604e-01 1
-5.307187500000000000000000000000000000000000000000000000000000000000000000000105e-01 -5.229140624999999999999999999999999999999999999999999999999999999999999999999992e-01 2.949618112740431161000181254510316714498443860667184854747018367788577880893401e-01 2.990446142084048260458517105267404446644255580954229088840726956230085907017018e-01 0
